epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
46,105312,1.00368,0.85124,0.10329,1.06742,1.22216,0.73811,0.82878,0.89448,0.58651,0.7914,0.88404,0.932,0.89945,1.05953,0.24784,0.00817,0.71923,1.33106,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
47,106262,0.99684,0.84598,0.10466,1.06665,1.22069,0.7365,0.83024,0.89429,0.58523,0.78766,0.88497,0.93185,0.89975,1.05867,0.24725,0.00807,0.71876,1.33066,0.020892,0.006964,0.020892,0.006964,0.020892,0.006964,0.020892,0.006964
48,107217,0.99228,0.83591,0.1039,1.05578,1.21584,0.72792,0.83395,0.89375,0.58535,0.78997,0.88625,0.93173,0.90038,1.05762,0.24646,0.00803,0.7172,1.33037,0.020694,0.006898,0.020694,0.006898,0.020694,0.006898,0.020694,0.006898
49,108172,0.99254,0.82787,0.10186,1.04684,1.2142,0.71983,0.83673,0.89204,0.58472,0.7845,0.88961,0.93137,0.89957,1.05714,0.24515,0.00803,0.71523,1.32987,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
50,109130,0.98437,0.83062,0.10274,1.03648,1.21126,0.71097,0.8423,0.89045,0.58228,0.77742,0.89239,0.93036,0.89903,1.05707,0.24344,0.00782,0.71453,1.32987,0.020298,0.006766,0.020298,0.006766,0.020298,0.006766,0.020298,0.006766
51,110086,0.98759,0.83757,0.10283,1.02588,1.2122,0.71449,0.84045,0.88753,0.57992,0.78481,0.89054,0.93008,0.89907,1.05698,0.24309,0.00779,0.71312,1.32999,0.0201,0.0067,0.0201,0.0067,0.0201,0.0067,0.0201,0.0067
52,111036,0.98547,0.83405,0.10226,1.00924,1.21056,0.71397,0.84045,0.88596,0.5788,0.80243,0.88683,0.93212,0.90098,1.05558,0.24274,0.00766,0.71032,1.32866,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
53,111993,0.97887,0.80312,0.10032,1.00008,1.2069,0.71866,0.83952,0.88601,0.57932,0.8027,0.8859,0.93288,0.90189,1.0546,0.24228,0.00754,0.70876,1.32849,0.019704,0.006568,0.019704,0.006568,0.019704,0.006568,0.019704,0.006568
54,112953,0.97536,0.81086,0.10071,0.99193,1.20401,0.7191,0.84066,0.88688,0.57987,0.80795,0.88404,0.93465,0.90351,1.05349,0.24142,0.00735,0.70594,1.3274,0.019506,0.006502,0.019506,0.006502,0.019506,0.006502,0.019506,0.006502
55,114055,0.98116,0.80067,0.09817,0.98227,1.2036,0.72361,0.84416,0.88778,0.58124,0.8117,0.88126,0.9351,0.90396,1.05223,0.24209,0.00757,0.70315,1.32662,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
