epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
102,6394.29,0.92359,0.74806,0.09688,0.92456,1.16498,0.87526,0.89173,0.94432,0.62005,0.92875,0.9128,0.96803,0.92743,1.05411,0.27731,0.00892,0.64692,1.31858,0.0001667,0.0001667,0.0001667
103,7220.19,0.92006,0.7413,0.09712,0.92051,1.16014,0.87502,0.89147,0.94481,0.62062,0.92373,0.92121,0.96812,0.92778,1.05435,0.27725,0.00893,0.64478,1.31889,0.0001634,0.0001634,0.0001634
104,8055.46,0.92039,0.75034,0.0968,0.91665,1.16322,0.8812,0.89447,0.94765,0.62224,0.92287,0.92123,0.96844,0.92805,1.05435,0.27712,0.00894,0.63954,1.3194,0.0001601,0.0001601,0.0001601
105,8889.17,0.919,0.74498,0.09672,0.91461,1.16091,0.8881,0.89816,0.94898,0.6236,0.92564,0.92486,0.96906,0.92929,1.05419,0.27712,0.00903,0.63646,1.31937,0.0001568,0.0001568,0.0001568
106,9723.36,0.91722,0.74183,0.09608,0.91005,1.1593,0.89074,0.90074,0.94996,0.62454,0.92493,0.92585,0.96947,0.92973,1.05351,0.2769,0.00906,0.63413,1.31892,0.0001535,0.0001535,0.0001535
107,10556.9,0.91649,0.74092,0.097,0.90644,1.15787,0.89002,0.9026,0.95138,0.62559,0.92329,0.92764,0.9696,0.92942,1.05335,0.27688,0.00915,0.63152,1.31885,0.0001502,0.0001502,0.0001502
108,11386,0.91463,0.73845,0.09474,0.90458,1.15896,0.89095,0.90353,0.95129,0.62547,0.92659,0.92579,0.96995,0.92962,1.05382,0.27676,0.00927,0.63058,1.31867,0.0001469,0.0001469,0.0001469
109,12216.9,0.91281,0.73434,0.0963,0.90505,1.16025,0.89397,0.90909,0.95241,0.6277,0.92471,0.93429,0.97072,0.9304,1.05351,0.27713,0.00928,0.62741,1.31879,0.0001436,0.0001436,0.0001436
110,13047.2,0.91284,0.73865,0.09479,0.90407,1.15849,0.89257,0.90947,0.95294,0.62725,0.9257,0.93612,0.97098,0.93046,1.05357,0.2766,0.00927,0.62608,1.319,0.0001403,0.0001403,0.0001403
111,13876.6,0.91128,0.74129,0.09488,0.89782,1.15523,0.89295,0.91307,0.95462,0.62896,0.92731,0.93506,0.9715,0.93083,1.05303,0.27672,0.00926,0.62295,1.31893,0.000137,0.000137,0.000137
112,14708.7,0.91157,0.73845,0.09569,0.89743,1.15649,0.89726,0.90732,0.95569,0.63021,0.92627,0.93229,0.97192,0.93072,1.05253,0.27649,0.00924,0.62001,1.31898,0.0001337,0.0001337,0.0001337
113,15537.9,0.90825,0.73999,0.09574,0.89731,1.15709,0.9029,0.90538,0.95738,0.6309,0.92811,0.93415,0.9725,0.93148,1.05227,0.27655,0.00929,0.6164,1.3186,0.0001304,0.0001304,0.0001304
114,16367.6,0.90625,0.72182,0.09422,0.88995,1.15507,0.90582,0.91001,0.95797,0.63074,0.93234,0.93228,0.9727,0.93207,1.05182,0.27613,0.00928,0.61454,1.31831,0.0001271,0.0001271,0.0001271
115,17197.4,0.9027,0.72534,0.09483,0.88959,1.15256,0.9065,0.9128,0.9584,0.6308,0.9317,0.93599,0.9731,0.93241,1.05065,0.27614,0.00922,0.61302,1.31778,0.0001238,0.0001238,0.0001238
116,18027.4,0.90279,0.71311,0.09419,0.88444,1.15092,0.90403,0.91748,0.95779,0.63142,0.93094,0.93781,0.97296,0.93146,1.0507,0.27586,0.0092,0.6138,1.31778,0.0001205,0.0001205,0.0001205
