epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
62,4974.4,1.07835,1.18329,0.12526,1.10062,1.25485,0.87208,0.84742,0.92323,0.65394,0.91998,0.88404,0.95384,0.91105,1.00413,0.31702,0.00647,0.69269,1.24384,2.987e-05,2.987e-05,2.987e-05
63,5422.22,1.07253,1.13849,0.12354,1.09235,1.25614,0.87178,0.8515,0.92407,0.65374,0.9201,0.88661,0.95423,0.91127,1.00362,0.31678,0.00643,0.69053,1.24354,2.954e-05,2.954e-05,2.954e-05
64,5870.19,1.07471,1.14609,0.12338,1.08694,1.25402,0.87106,0.85158,0.92473,0.65422,0.9204,0.88776,0.9543,0.91161,1.00384,0.31654,0.00627,0.68804,1.24421,2.921e-05,2.921e-05,2.921e-05
65,6318.07,1.06773,1.15029,0.12251,1.08139,1.2487,0.873,0.85065,0.92477,0.65415,0.92058,0.88961,0.95465,0.91172,1.00367,0.31632,0.00623,0.6862,1.2442,2.888e-05,2.888e-05,2.888e-05
66,6765.95,1.06532,1.11957,0.12032,1.07601,1.25057,0.87343,0.85136,0.92406,0.6534,0.91856,0.88935,0.95471,0.91216,1.00348,0.31699,0.00623,0.6854,1.24485,2.855e-05,2.855e-05,2.855e-05
67,7213.27,1.06125,1.14432,0.12243,1.07553,1.24497,0.87207,0.85368,0.92455,0.65418,0.92057,0.88868,0.95487,0.91195,1.00344,0.3164,0.00619,0.68468,1.24522,2.822e-05,2.822e-05,2.822e-05
68,7660.58,1.07248,1.14491,0.12247,1.07571,1.2484,0.87239,0.85615,0.92435,0.65289,0.92202,0.88837,0.95492,0.91233,1.0035,0.31588,0.00618,0.68389,1.24552,2.789e-05,2.789e-05,2.789e-05
69,8107.8,1.05706,1.12661,0.12049,1.07235,1.24478,0.86664,0.86364,0.92398,0.65309,0.91917,0.89332,0.95531,0.91188,1.00356,0.31487,0.00608,0.6816,1.24574,2.756e-05,2.756e-05,2.756e-05
70,8555.51,1.05327,1.1134,0.11883,1.06385,1.24099,0.86283,0.86456,0.92421,0.65368,0.91888,0.89318,0.95562,0.91207,1.00343,0.31443,0.00608,0.68031,1.24607,2.723e-05,2.723e-05,2.723e-05
71,9001.98,1.04723,1.10378,0.11866,1.05829,1.23623,0.86621,0.86483,0.92456,0.65445,0.9196,0.89127,0.95568,0.91246,1.00304,0.31401,0.00607,0.67906,1.2462,2.69e-05,2.69e-05,2.69e-05
72,9449.51,1.04535,1.0885,0.12014,1.06403,1.23609,0.86274,0.86364,0.92438,0.65394,0.9185,0.8961,0.95579,0.91272,1.00291,0.31349,0.00606,0.67817,1.24667,2.657e-05,2.657e-05,2.657e-05
73,9896.42,1.04523,1.08817,0.11871,1.05864,1.23523,0.85969,0.8639,0.9248,0.65451,0.91759,0.89862,0.95608,0.913,1.00313,0.3129,0.00605,0.67704,1.24688,2.624e-05,2.624e-05,2.624e-05
74,10344.1,1.04706,1.1103,0.12075,1.06145,1.23566,0.85916,0.86015,0.92376,0.65383,0.91554,0.89493,0.95612,0.91307,1.00302,0.31211,0.00603,0.67713,1.24681,2.591e-05,2.591e-05,2.591e-05
