epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,train/rle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,val/rle_loss,lr/pg0,lr/pg1,lr/pg2
47,12541.7,0.98798,0.48813,0.10323,0.77385,0.01159,0.14516,0.97103,0.96475,0.98102,0.64939,0.9729,0.9666,0.98434,0.96107,1.08367,0.19631,0.01598,0.41193,0.02189,0,0.00020892,0.00020892,0.00020892
48,12803.5,0.98942,0.48673,0.10236,0.78037,0.01165,0.13828,0.97381,0.9666,0.97743,0.65088,0.97567,0.96846,0.98447,0.96102,1.08307,0.1958,0.0156,0.40955,0.02189,0,0.00020694,0.00020694,0.00020694
49,13066.8,0.98358,0.48839,0.10116,0.77791,0.01162,0.1412,0.97728,0.9666,0.98055,0.65147,0.97916,0.96846,0.98421,0.96115,1.08205,0.19963,0.01506,0.40566,0.02187,0,0.00020496,0.00020496,0.00020496
50,13329.4,0.98877,0.4763,0.10063,0.77522,0.01175,0.15847,0.97655,0.96575,0.98117,0.65207,0.97843,0.96761,0.98377,0.96108,1.08186,0.19929,0.01467,0.4083,0.02186,0,0.00020298,0.00020298,0.00020298
51,13591.9,0.98345,0.4875,0.09911,0.77243,0.01156,0.14073,0.97748,0.96615,0.98128,0.65252,0.97935,0.968,0.98364,0.96132,1.08177,0.19918,0.01433,0.40471,0.02186,0,0.000201,0.000201,0.000201
52,13854.1,0.97587,0.476,0.09753,0.76496,0.0115,0.13204,0.97825,0.96568,0.98147,0.65265,0.98013,0.96753,0.98354,0.96137,1.08035,0.19851,0.01402,0.40392,0.02183,0,0.00019902,0.00019902,0.00019902
53,14117,0.9695,0.46937,0.09556,0.75964,0.01149,0.11795,0.97521,0.96568,0.98071,0.65197,0.97708,0.96753,0.98337,0.96126,1.0789,0.19819,0.0137,0.40564,0.0218,0,0.00019704,0.00019704,0.00019704
54,14380.4,0.96099,0.46358,0.09469,0.74544,0.01133,0.09794,0.97326,0.96382,0.98095,0.65265,0.97514,0.96568,0.98324,0.96097,1.07886,0.19803,0.01334,0.40794,0.0218,0,0.00019506,0.00019506,0.00019506
55,14643.1,0.96022,0.46705,0.09501,0.7515,0.01131,0.09855,0.97709,0.96568,0.98056,0.65238,0.97897,0.96753,0.98302,0.96055,1.07718,0.19779,0.01302,0.40543,0.02178,0,0.00019308,0.00019308,0.00019308
56,14906.1,0.96064,0.46903,0.09365,0.74717,0.01129,0.1044,0.97553,0.96475,0.98022,0.65323,0.97475,0.96699,0.98235,0.95983,1.07606,0.19746,0.0126,0.40617,0.02175,0,0.0001911,0.0001911,0.0001911
57,15168.1,0.95319,0.46292,0.09256,0.74134,0.01128,0.08887,0.97749,0.96475,0.97933,0.65204,0.97945,0.9666,0.98246,0.96003,1.07564,0.19701,0.01221,0.40468,0.02175,0,0.00018912,0.00018912,0.00018912
58,15431.7,0.94579,0.45635,0.09153,0.73866,0.01112,0.10038,0.97388,0.96382,0.97906,0.65225,0.97582,0.96568,0.98226,0.96006,1.07554,0.19668,0.01186,0.40631,0.02175,0,0.00018714,0.00018714,0.00018714
