epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,train/rle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,val/rle_loss,lr/pg0,lr/pg1,lr/pg2
51,8898.61,1.06071,0.58447,0.11281,0.9046,0.01252,0.29576,0.96051,0.94759,0.96784,0.63966,0.97462,0.95362,0.97786,0.95479,1.11694,0.21716,0.01855,0.44814,0.02269,0,0.000335,0.000335,0.000335
52,9071.5,1.06429,0.58604,0.11416,0.90615,0.01258,0.29273,0.9634,0.9462,0.9685,0.63911,0.97709,0.94932,0.97693,0.95399,1.1161,0.21928,0.01881,0.45142,0.02268,0,0.0003317,0.0003317,0.0003317
53,9245.12,1.06571,0.58675,0.11368,0.90823,0.01264,0.28778,0.96643,0.94341,0.9669,0.63586,0.97339,0.95269,0.9767,0.95302,1.1173,0.22551,0.01874,0.45021,0.02272,0,0.0003284,0.0003284,0.0003284
54,9418.03,1.05753,0.5844,0.11155,0.89525,0.01245,0.26223,0.97396,0.93677,0.96831,0.63925,0.97611,0.94754,0.97759,0.95341,1.11591,0.2265,0.01836,0.43985,0.0227,0,0.0003251,0.0003251,0.0003251
55,9589.62,1.05647,0.59102,0.10946,0.89705,0.01239,0.23556,0.97416,0.94422,0.97446,0.64102,0.97956,0.94991,0.97794,0.95419,1.11368,0.21982,0.01804,0.43635,0.02263,0,0.0003218,0.0003218,0.0003218
56,9762.17,1.04748,0.5756,0.10785,0.8856,0.01235,0.21742,0.97141,0.94545,0.97417,0.64068,0.97713,0.95121,0.97764,0.95443,1.11248,0.21951,0.01737,0.43715,0.02261,0,0.0003185,0.0003185,0.0003185
57,9934.36,1.04716,0.57357,0.10886,0.88472,0.01236,0.21132,0.9681,0.94898,0.97113,0.64102,0.97605,0.9564,0.97386,0.95442,1.11293,0.21923,0.01728,0.43482,0.02263,0,0.0003152,0.0003152,0.0003152
58,10107.1,1.04537,0.56398,0.10857,0.88287,0.01232,0.19233,0.96883,0.94712,0.975,0.63953,0.97424,0.95269,0.9782,0.95445,1.11423,0.21901,0.01681,0.43536,0.02265,0,0.0003119,0.0003119,0.0003119
59,10279.1,1.05166,0.56376,0.10655,0.88965,0.01242,0.21653,0.96961,0.94527,0.97483,0.63946,0.97716,0.95176,0.97779,0.95404,1.1141,0.21678,0.01716,0.43463,0.02265,0,0.0003086,0.0003086,0.0003086
60,10451.2,1.04194,0.55951,0.10684,0.8794,0.01216,0.18312,0.9671,0.95176,0.97686,0.64173,0.97635,0.95721,0.9782,0.95482,1.11269,0.2161,0.01576,0.43189,0.02261,0,0.0003053,0.0003053,0.0003053
